directory name,priority,ra,dec,start time,end time,obs duration,exposure time,filter,binning,completion
6359521108406068992,5,282.2114626702030,-82.24624921,2025:03:29:24:55,2025:03:30:08:00,8.64,30,1,1,0
4684447304205300352,5,14.225859096672500,-76.06387853,2025:03:29:24:55,2025:03:30:08:00,8.64,30,1,1,0
6368902966247688320,5,321.9489246585360,-75.1422222,2025:03:29:24:55,2025:03:30:08:00,19.2,30,1,1,0
4656782698309778432,5,88.36039076,-71.56206618,2025:03:29:24:55,2025:03:30:08:00,8.16,30,1,1,0
5809399363316632064,5,248.4518455347380,-68.14812564,2025:03:29:24:55,2025:03:30:08:00,5.28,30,1,1,0
5813538887153210496,5,259.33278033009800,-65.6023313,2025:03:29:24:55,2025:03:30:08:00,15.36,30,1,1,0
6439125097427143808,5,281.29804386226000,-63.96056737,2025:03:29:24:55,2025:03:30:08:00,28.32,30,1,1,0
5918136424731578240,5,266.10470106330000,-58.57100856,2025:03:29:24:55,2025:03:30:08:00,9.6,30,1,1,0
4774420478143249536,5,72.90411059547040,-58.31753418,2025:03:29:24:55,2025:03:30:08:00,24,30,1,1,0
5343835559954249984,5,177.2877958661290,-56.02664163,2025:03:29:24:55,2025:03:30:08:00,8.16,30,1,1,0
5497771860749716096,5,98.09944672420500,-55.72852993,2025:03:29:24:55,2025:03:30:08:00,13.44,30,1,1,0
4733921479163010688,5,50.24761367112990,-55.33652351,2025:03:29:24:55,2025:03:30:08:00,14.4,30,1,1,0
6473160651658069120,5,300.5564881380540,-54.43381916,2025:03:29:24:55,2025:03:30:08:00,33.12,30,1,1,0
5344443383724940416,5,176.84098784805900,-54.41174707,2025:03:29:24:55,2025:03:30:08:00,43.68,30,1,1,0
4767876769050721920,5,88.81275479,-54.05060057,2025:03:29:24:55,2025:03:30:08:00,41.28,30,1,1,0
5404351271207811968,5,149.67655078735200,-53.74750819,2025:03:29:24:55,2025:03:30:08:00,8.64,30,1,1,0
5368479017141170304,5,179.85615309644900,-52.78916142,2025:03:29:24:55,2025:03:30:08:00,6.24,30,1,1,0
5318399114355534592,5,132.72818386471000,-52.45500085,2025:03:29:24:55,2025:03:30:08:00,7.2,30,1,1,0
5504688441724593152,5,105.92452397225800,-51.60347662,2025:03:29:24:55,2025:03:30:08:00,37.44,30,1,1,0
6655006165359227264,5,280.52270770678300,-51.24405008,2025:03:29:24:55,2025:03:30:08:00,1.632,30,1,1,0
5985290231327158144,5,235.1951774625920,-51.02810131,2025:03:29:24:55,2025:03:30:08:00,8.16,30,1,1,0
5518349869403884928,5,116.37242205054200,-48.25909167,2025:03:29:24:55,2025:03:30:08:00,5.28,30,1,1,0
6711034975805345280,5,286.2430486448870,-45.5999377,2025:03:29:24:55,2025:03:30:08:00,8.16,30,1,1,0
5424690587034891264,5,143.35340809994100,-43.89324679,2025:03:29:24:55,2025:03:30:08:00,6.24,30,1,1,0
5424690587034982144,5,143.35813068013900,-43.89273302,2025:03:29:24:55,2025:03:30:08:00,6.24,30,1,1,0
6109949904687424640,5,212.99539892266300,-41.53972199,2025:03:29:24:55,2025:03:30:08:00,13.44,30,1,1,0
6689574432978156160,5,295.6252894629090,-41.25320924,2025:03:29:24:55,2025:03:30:08:00,25.92,30,1,1,0
5392573989820288768,5,159.8265628190090,-41.17671695,2025:03:29:24:55,2025:03:30:08:00,18.24,30,1,1,0
6580822871745518976,5,318.87451763432800,-41.0890112,2025:03:29:24:55,2025:03:30:08:00,12.96,30,1,1,0
